token                lexeme    
-------------------------------
separator            (
identifier           int
identifier           iff
identifier           Function
keyword              while
separator            (
identifier           a_12
operator             ==
unknown              .345
separator            )
separator            {
identifier           b
operator             ==
integer              0045
keyword              print
identifier           aB3_
separator            }
identifier           add_argument
real                 0.789
keyword              function
separator            (
identifier           a
separator            ,
identifier           b
separator            )
separator            {
identifier           a
operator             ==
integer              1798264129
identifier           b
operator             =
integer              1289347120934871203
separator            }
identifier           oneLongIdentifierToTestStringLengthForIdentifyingIdentifiersForThePurposeOfThisTestCase
keyword              integer
keyword              real
keyword              else
operator             /
keyword              return
integer              83
operator             +
unknown              .
separator            (
integer              45
identifier           T_111
keyword              scan
integer              16
identifier           int
separator            )
